# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

attention to the needs of customers. First time purchase is the beginning of a relationship. We now have a,
very…..23…..[A. tangible B. rowdy C. sensitive D. desirable] marketplace in which people feel a need for,
"personal intimacy and excellent service. In fact, some customers want to be pampered. They want customized",
service. They want a salesperson who comes to them with a…..24….[A. prior B. full C. biased D.,
simple] knowledge of their needs and has ready-made solution to their problems. The ability to….25….[A.,
analyse B. present C. organize D. discuss] the needs of the customer and provide adequate information that,
helps the customer to make informed purchase decisions are attributes that the modern customer respects,
and appreciates,
Choose the option that best explains the information conveyed in the sentence.,
26. It was our collective idea but Ado was doing everything to steal the show.,
A. Ado was not part of the planning but he tried rub us of the benefit of it,
B. We planned the show together but Ado was trying to abort it,
C. It was a joint project but Ado is trying to attract the most attention,
D. We collated the idea for the show but Ado was trying to steal the programme,
"27. As we watched, he just popped along to the shop for some b read?",
A. He has walked slowly to the shop,
B. He stole some bread from the shop but we could not stop him,
C. H e broke into the bread shop before our very eyes,
D. He went quickly to the shop for some bread,
"28. In all ramifications, Chief Adeyemi was a success principal of the school?",
A. He was partly a failure and partly a success,
B. Everyone admitted that he was largely successful during his tenure,
C. He was not totally successful in the school,
D. His tenure witnessed a huge success,
29. I couldn't buy the biscuit because of the hold-up in the supermarket?,
A. The shop had not opened,
B. The attendant was slow,
C. Armed robbers were there,www.myschoolgist.com
D. There was nobody to attend to me,
"30. You could have heard sound, if you weren't asleep?",
A. You were not asleep so you heard the sound,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. You were asleep so you did not heard the sound,
C. You heard the sound though you were asleep,
D. You did not hear the sound though you were not asleep,
31. Musa will not do the job well because he has an itching palm?,
A. He has rashes in his palm,
B. He is always looking for something to touch,
C. He is always ready to accept bribe,
D. He is tapping people on the back,
.,
32. Emeka was always conspicuous by his absence when it came to attending lectures.,
A. That Emeka always attended lectures at school,
B. Emeka absence from lectures was all too glaring,
C. It was obvious that Emeka was not present at lectures,
D. What made Emeka conspicuous was is occasional absence from school,
33. He was injured by a friendly fire?,
A. He was wounded in a war by a friend of his who fired a shot mistakenly,
B. He was injured by a gun shot that was fired by a friend,
C. He was hit in a war by a war weapon fired by his own side,
D. It was a war and he was hit by a bomb fired by an unknown soldier,
"34. Kola visits us on occasions, and I don't like that?",
A. I do not like Kola because he visits us only when an event is being celebrated,
B. I hate the fact that Kola only visits us when something is being celebrated,
C. That Kola does not visit us often is something I object to,
D. Kola seldom visits us and that is because he is a fair-weather friend,
"35. At the time I arrived, Olu was lying in third place?",
A. Olu's third position coincided with my arrival,
"B. When I arrived, Olu was sleeping in the space reserved for him",
C. It was a competition and Olu was in third position when I arrived,
"D. On my arrived at the competition, Olu went to sleep",
Choose the option opposite in meaning to the underlined word(s).,
36. We had difficulty eating the meat because it was leathery?,
A. bitter,
B. stringy,
C. tough,www.myschoolgist.com
D. tender,
37. The boy is too indolent to do well at school?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. intelligent,
B. industrious,
C. inactive,
D. slothful,
38. Salasi's tremendous effort has yield results?,
A. absolute,
B. insignficant,
C. unimpressive,
D. a gregarious,
39. The computerized service of the new bank is heart-warming,
A. absolute,
B. insignificant,
C. unimaginable,
D. prohibitive,
40. Life has become a misery for many owing to the harsh economic condition in the country?,
A. drudgery,
B. ridicule,
C. ritual,
D. comfort,
41. The company director has a vivacious personality?,
A. a positive,
B. an unmanageable,
C. an unimpressive,
D. a gregarious,
42. Young people have a penchant for fast cars?,
A. likeness,
B. passion,
C. madness,
D. dislike,
43. Choose the option opposite in meaning to the underlined word(s).,
Most of the latest actions are militant in nature?,
A. commanding,
B. civil,www.myschoolgist.com
C. zealous,
D. passionate,
44. His ideas sounded quite palatable yet they were jettisoned by the group?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. accepted,
B. dumped,
C. denied,
D. criticized,
45. The compulsory leave made her feel listless?,
A. restful,
B. great,
C. fat,
D. energetic,
"46. 'A novel is an embellished falsehood', said the teacher?",
A. enriched,
B. exaggerate,
C. adorned,
D. obliterated,
47. I have had enough of your impudence.,
A. politeness,
B. incivility,
C. arrogance,
D. boldness,
48. We were collectively responsible for keeping the machine in good shape?,
A. jointly,
B. severally,
C. dutifully,
D. socially,
49. His comment was not printable?,
A. punishable,
B. suitable,
C. offensive,
D. unfair,
"50. ","Curiously, he escape unhurt?"
A. interestingly,
B. unsurprisingly,
C. annoyingly,
D. unusually,www.myschoolgist.com
Choose the option nearest in meaning to the underlined word(s).,
51. Agwube's explanation of her poor performance at the examination only begged the question?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. delayed her punishment,
B. sounded quite convincing,
C. did not address the issue,
D. over flogged the matter,
52. We have every need to preserve some of our national monuments for posterity?,
A. prosperity,
B. future,
C. national pride,
D. collective gain,
53. He commands the confidence and respect of all his subordinates?,
